NAMA,MQ135,MQ2,MQ3,MQ6,MQ138,MQ7
aKaw-M,5839,468,5733,394,3789,482
aKaw-M,5915,475,5754,397,3819,487
aKaw-M,5940,478,5746,396,3827,485
aKaw-M,6008,524,5876,461,3928,573
aKaw-M,6044,527,5886,462,3943,575
aKaw-M,6081,531,5896,463,3959,578
aKaw-M,6118,535,5905,464,3973,581
aKaw-M,6141,538,5896,464,3981,578
aKaw-M,6228,588,6733,548,4144,618
aKaw-M,5878,472,5745,395,3805,485
aKaw-M,4877,419,4005,317,2714,102
aKaw-M,5314,739,3250,846,3293,724
aKaw-M,5330,744,3254,847,3299,726
aKaw-M,6211,573,4669,428,3867,489
aKaw-M,6248,577,4677,431,3882,493
aKaw-M,6286,582,4686,433,3897,498
aKaw-M,6322,586,4693,435,3910,501
aKaw-M,6361,590,4702,437,3924,506
aKaw-M,6370,646,4832,490,3997,582
aKaw-M,6404,651,4838,493,4011,586
aKaw-M,6441,656,4847,496,4026,591
aKaw-M,6180,527,4717,385,3791,427
aKaw-M,6476,661,4855,499,4039,596
aKaw-M,6433,709,5433,549,4098,639
aKaw-M,6466,714,5439,552,4112,644
aKaw-M,6501,720,5446,555,4126,649
aKaw-M,6533,725,5452,558,4138,654
aKaw-M,6549,730,5439,559,4142,652
aKaw-M,7398,770,7718,823,4627,1006
aKaw-M,7429,775,7722,826,4640,1011
aKaw-M,7444,779,7709,827,4645,1010
aKaw-M,6498,666,4845,500,4046,595
aKaw-M,6140,523,4707,383,3776,423
aKaw-M,6102,519,4700,380,3763,419
aKaw-M,6064,515,4690,378,3747,415
aKaw-M,5348,748,3260,848,3307,728
aKaw-M,5362,753,3263,849,3312,731
aKaw-M,5377,757,3267,849,3319,733
aKaw-M,5721,870,4166,1057,3737,840
aKaw-M,5735,874,4169,1058,3742,842
aKaw-M,5751,879,4174,1058,3749,844
aKaw-M,5763,883,4177,1057,3753,845
aKaw-M,5778,888,4182,1057,3758,847
aKaw-M,9536,1059,9338,1868,6265,1932
aKaw-M,9545,1061,9336,1864,6265,1928
aKaw-M,9555,1064,9337,1860,6267,1924
aKaw-M,9562,1067,9334,1855,6266,1919
aKaw-M,9572,1070,9335,1849,6267,1914
aKaw-M,5839,462,4754,328,3595,340
aKaw-M,5877,465,4763,331,3610,344
aKaw-M,5918,469,4773,333,3626,349
aKaw-M,5957,473,4781,335,3639,353
aKaw-M,5998,476,4791,337,3654,357
aKaw-M,6027,511,4683,376,3733,411
aKaw-M,5417,382,5734,305,3463,352
aKaw-M,5380,379,5721,304,3448,350
aSem-D,4716,319,2970,232,2359,94
aSem-D,5140,274,5249,97,3089,73
aSem-D,4584,239,3855,117,2647,118
aSem-D,4558,237,3847,116,2640,115
aSem-D,4531,236,3837,115,2632,111
aSem-D,4505,235,3828,114,2625,108
aSem-D,6031,302,5612,299,3594,474
aSem-D,6013,300,5621,299,3594,476
aSem-D,5982,299,5614,298,3587,474
aSem-D,5949,297,5604,297,3577,472
aSem-D,4611,240,3865,117,2654,122
aSem-D,5918,296,5596,296,3568,469
aSem-D,5818,343,5339,185,3499,252
aSem-D,5784,341,5329,184,3489,249
aSem-D,5749,339,5318,183,3477,245
aSem-D,5716,336,5309,181,3466,241
aSem-D,5527,322,4935,161,3305,222
aSem-D,5493,319,4924,161,3294,219
aSem-D,5461,318,4915,159,3285,215
aSem-D,5428,315,4903,158,3274,212
aSem-D,5851,345,5349,186,3510,256
aSem-D,4546,248,3684,125,2639,132
aSem-D,4572,249,3692,126,2646,136
aSem-D,4586,250,3683,126,2647,136
aSem-D,4691,316,2963,230,2350,86
aSem-D,4666,313,2956,228,2341,78
aSem-D,4684,310,3063,196,2536,200
aSem-D,4659,308,3055,195,2528,194
aSem-D,4636,306,3049,194,2522,189
aSem-D,4624,304,3059,193,2521,189
aSem-D,4600,302,3052,192,2513,183
aSem-D,4667,287,3262,161,2607,186
aSem-D,4655,286,3272,161,2607,186
aSem-D,4630,284,3265,159,2600,181
aSem-D,4604,282,3255,158,2592,176
aSem-D,4580,280,3247,156,2584,171
aSem-D,4686,271,3515,144,2668,165
aSem-D,4673,270,3524,144,2668,165
aSem-D,4648,269,3516,142,2662,161
aSem-D,4622,267,3506,142,2654,157
aSem-D,4599,265,3499,141,2647,152
aSem-D,4638,253,3701,128,2661,143
aSem-D,4611,252,3692,127,2654,140
aSem-D,4750,324,2963,235,2368,103
aSem-D,4740,322,2975,234,2367,101
aSem-D,5388,302,4902,145,3204,177
aSem-D,5339,298,4900,144,3193,175
aSem-D,5631,343,5552,123,3457,164
aSem-D,5595,341,5543,120,3446,160
aSem-D,5571,338,5550,120,3440,160
aSem-D,5535,336,5539,118,3427,156
aSem-D,5804,331,5434,149,3483,175
aSem-D,5767,329,5423,148,3472,172
aSem-D,5733,326,5414,146,3462,168
aSem-D,5697,324,5403,146,3449,165
aSem-D,5668,346,5565,123,3469,168
aSem-D,5662,322,5392,144,3438,162
aSem-D,5572,304,5324,143,3337,174
aSem-D,5539,303,5315,142,3327,171
aSem-D,5503,300,5303,141,3315,168
aSem-D,5470,298,5293,140,3303,165
aSem-D,5263,281,5274,101,3126,84
aSem-D,5241,279,5281,101,3122,84
aSem-D,5208,277,5272,100,3112,80
aSem-D,5174,276,5260,99,3101,77
aSem-D,5608,306,5335,144,3347,177
aSem-D,6179,366,6120,183,3816,253
aSem-D,6215,368,6130,184,3828,256
aSem-D,6254,371,6142,185,3841,259
aSem-D,5306,296,4888,143,3182,173
aSem-D,5276,294,4876,143,3173,170
aSem-D,5120,278,4918,112,3037,108
aSem-D,5087,276,4906,112,3027,104
aSem-D,5056,274,4896,110,3018,101
aSem-D,5023,272,4884,109,3006,97
aSem-D,4992,270,4874,107,2996,93
aSem-D,5099,266,4943,122,3013,134
aSem-D,5066,264,4931,121,3004,132
aSem-D,5035,262,4921,120,2994,128
aSem-D,5014,261,4926,119,2990,128
aSem-D,4983,259,4915,118,2979,125
aSem-D,6119,302,6336,287,3868,509
aSem-D,6084,301,6327,287,3860,508
aSem-D,6050,299,6318,286,3853,507
aSem-D,6013,298,6308,285,3843,506
aSem-D,5978,296,6299,285,3834,505
aSem-D,6327,375,6162,187,3863,265
aSem-D,6290,373,6151,187,3852,262
aSem-D,5369,300,4908,145,3201,178
aSem-D,5396,313,4893,156,3263,209
aSem-L,3141,170,3969,275,1428,351
aSem-L,3376,144,4854,177,1804,323
aSem-L,4465,195,6418,406,2626,776
aSem-L,4491,196,6432,408,2638,776
aSem-L,4505,198,6433,409,2643,772
aSem-L,4529,199,6446,410,2653,770
aSem-L,4540,200,6441,410,2655,764
aSem-L,3176,121,5292,136,1729,266
aSem-L,3203,123,5314,138,1740,270
aSem-L,3232,124,5338,139,1751,274
aSem-L,3402,146,4871,181,1814,327
aSem-L,3259,125,5360,141,1761,278
aSem-L,3320,132,5461,146,1836,294
aSem-L,3348,133,5482,148,1848,299
aSem-L,3378,134,5506,150,1860,304
aSem-L,3407,136,5529,152,1871,308
aSem-L,3437,137,5552,154,1883,313
aSem-L,3534,147,5665,167,1988,332
aSem-L,3563,148,5687,170,2000,337
aSem-L,3593,149,5711,171,2013,341
aSem-L,3288,126,5384,143,1772,283
aSem-L,4486,246,6495,345,2711,646
aSem-L,4460,244,6482,342,2700,642
aSem-L,4444,243,6480,341,2693,643
aSem-L,3348,143,4835,176,1793,317
aSem-L,3322,141,4817,173,1783,312
aSem-L,3418,146,4875,181,1818,327
aSem-L,3490,157,4942,196,1903,351
aSem-L,3518,159,4958,199,1915,356
aSem-L,3546,160,4980,201,1927,361
aSem-L,3573,162,4997,204,1937,367
aSem-L,3602,164,5017,206,1949,372
aSem-L,3726,181,5130,232,2088,417
aSem-L,3754,182,5149,235,2100,423
aSem-L,3784,184,5168,238,2113,428
aSem-L,3812,186,5185,241,2125,432
aSem-L,3829,187,5187,242,2131,433
aSem-L,3954,209,5474,271,2289,486
aSem-L,3982,210,5492,274,2302,491
aSem-L,4013,213,5510,277,2316,497
aSem-L,4041,214,5526,279,2328,501
aSem-L,4071,216,5544,282,2341,507
aSem-L,4416,240,6464,338,2680,639
aSem-L,3622,150,5734,173,2025,345
aSem-L,3653,152,5758,175,2037,350
aSem-L,4514,248,6512,347,2723,648
aSem-L,3750,163,5944,186,2146,372
aSem-L,3582,171,5013,205,2035,377
aSem-L,3606,172,5032,208,2044,382
aSem-L,3620,174,5036,209,2048,382
aSem-L,3644,175,5055,211,2057,386
aSem-L,3671,176,5074,212,2067,391
aSem-L,3817,200,5207,244,2217,448
aSem-L,3842,202,5224,246,2227,453
aSem-L,3892,205,5261,250,2247,463
aSem-L,3907,206,5263,251,2251,463
aSem-L,3982,229,5497,269,2296,468
aSem-L,4007,230,5512,272,2306,474
aSem-L,4021,232,5514,273,2311,475
aSem-L,4046,233,5529,276,2322,480
aSem-L,4059,234,5529,276,2326,482
aSem-L,3070,165,3938,262,1383,325
aSem-L,3093,167,3953,266,1397,334
aSem-L,3106,168,3953,269,1406,338
aSem-L,3720,162,5921,183,2134,367
aSem-L,3129,169,3968,273,1420,347
aSem-L,3453,154,4986,184,1908,347
aSem-L,3427,153,4966,183,1898,342
aSem-L,3868,204,5244,248,2238,458
aSem-L,3378,150,4925,179,1880,334
aSem-L,3781,164,5968,187,2160,376
aSem-L,3403,152,4947,181,1890,338
aSem-L,3843,167,6012,192,2186,385
aSem-L,3982,181,6400,209,2342,425
aSem-L,4012,183,6422,211,2356,430
aSem-L,4044,184,6446,212,2370,434
aSem-L,4075,186,6467,215,2383,439
aSem-L,4108,187,6490,216,2397,443
aSem-L,4094,190,7350,225,2514,498
aSem-L,4124,191,7371,227,2527,502
aSem-L,3811,166,5989,190,2172,381
aSem-L,4187,194,7414,231,2553,510
aSem-L,4156,193,7394,229,2541,505
aSem-L,3354,149,4905,177,1871,329
aSem-L,3266,138,4944,163,1787,306
aSem-L,3242,137,4924,161,1779,301
aSem-L,3281,139,4950,164,1791,305
aSem-L,3191,135,4881,157,1759,293
aSem-L,4219,196,7437,232,2566,513
aSem-L,3215,136,4902,159,1768,297
aSem-M,5980,416,6145,322,3736,330
aSem-M,8303,691,10193,784,5829,1144
aSem-M,5941,414,6136,322,3723,329
aSem-M,5904,411,6130,321,3711,326
aSem-M,5878,409,6137,321,3705,329
aSem-M,5841,406,6130,320,3692,327
aSem-M,6073,442,6121,347,3837,333
aSem-M,8346,695,10200,784,5843,1143
aSem-M,8263,687,10187,784,5816,1146
aSem-M,7049,632,6750,508,4413,626
aSem-M,8178,678,10174,782,5786,1147
aSem-M,7095,636,6759,510,4431,629
aSem-M,7006,627,6742,505,4397,623
aSem-M,6961,622,6732,504,4379,620
aSem-M,6917,617,6723,501,4361,617
aSem-M,6877,585,6240,454,4296,543
aSem-M,6832,580,6230,452,4278,540
aSem-M,6097,444,6127,348,3843,335
aSem-M,8220,682,10180,783,5801,1146
aSem-M,6108,445,6116,347,3840,332
aSem-M,7323,544,9366,700,4957,782
aSem-M,6152,450,6127,347,3847,340
aSem-M,7344,546,9354,699,4959,779
aSem-M,7289,541,9361,700,4947,780
aSem-M,7253,539,9354,700,4935,777
aSem-M,7219,537,9349,699,4924,775
aSem-M,6995,601,7538,538,4481,565
aSem-M,6958,597,7529,537,4469,563
aSem-M,6922,594,7523,537,4457,561
aSem-M,6885,591,7515,536,4443,558
aSem-M,6850,587,7508,535,4431,556
aSem-M,6766,561,6650,472,4284,521
aSem-M,6728,558,6641,472,4271,519
aSem-M,6692,554,6635,471,4259,517
aSem-M,6654,551,6625,470,4245,515
aSem-M,6618,547,6619,469,4232,513
aSem-M,6461,507,6330,408,4076,440
aSem-M,6423,503,6321,408,4062,438
aSem-M,6386,500,6314,407,4050,435
aSem-M,6361,497,6322,407,4044,438
aSem-M,6325,494,6315,405,4030,435
aSem-M,6130,448,6121,347,3843,335
aSem-M,6746,571,6212,448,4243,533
aSem-M,6790,576,6222,450,4262,537
aSem-M,6566,533,5985,401,4075,454
aSem-M,6658,628,5947,513,4163,568
aSem-M,6618,624,5937,511,4148,564
aSem-M,6579,619,5929,509,4133,560
aSem-M,6538,614,5918,507,4116,555
aSem-M,6501,609,5909,504,4100,552
aSem-M,6255,539,5786,416,3893,425
aSem-M,6213,534,5775,415,3876,420
aSem-M,6175,530,5766,412,3862,417
aSem-M,6134,526,5754,410,3844,412
aSem-M,6096,522,5744,408,3829,408
aSem-M,5873,464,5759,353,3658,344
aSem-M,5846,461,5765,352,3650,345
aSem-M,5808,457,5756,350,3635,341
aSem-M,5769,453,5744,349,3619,337
aSem-M,5731,450,5733,346,3604,333
aSem-M,5590,411,5833,303,3472,290
aSem-M,5512,405,5810,299,3442,281
aSem-M,5472,402,5797,298,3426,277
aSem-M,5435,399,5786,295,3410,272
aSem-M,7025,728,6554,617,4424,636
aSem-M,7063,734,6562,619,4439,641
aSem-M,7088,739,6553,621,4448,639
aSem-M,7125,744,6560,623,4462,644
aSem-M,6522,529,5976,399,4058,451
aSem-M,6480,525,5967,397,4042,448
aSem-M,6450,521,5975,396,4032,449
aSem-M,6407,517,5966,393,4014,446
aSem-M,6170,467,5820,341,3801,369
aSem-M,6126,463,5809,339,3785,366
aSem-M,6085,459,5800,337,3770,362
aSem-M,6043,455,5788,335,3752,358
aSem-M,6001,452,5778,332,3735,354
aSem-M,6703,567,6202,445,4226,530
aSem-M,5880,419,5784,302,3605,319
aSem-M,5797,413,5765,298,3575,312
aSem-M,5755,409,5752,297,3557,308
aSem-M,5715,406,5743,295,3542,304
aSem-M,8258,879,9740,754,5138,419
aSem-M,8240,875,9754,754,5133,419
aSem-M,8207,870,9750,752,5121,412
aSem-M,8170,865,9742,750,5106,405
aSem-M,8136,860,9738,747,5092,397
aSem-M,7164,750,6569,625,4478,648
aSem-M,5839,416,5775,301,3590,315
aSem-M,5550,408,5820,301,3456,285
rGed-D,3957,159,4645,115,2453,217
rGed-D,4039,198,3279,25,2326,15
rGed-D,4208,221,4871,32,2451,40
rGed-D,4175,211,4842,30,2379,42
rGed-D,4148,209,4824,29,2372,39
rGed-D,4123,208,4808,27,2365,36
rGed-D,4097,207,4791,25,2357,33
rGed-D,4072,206,4776,23,2350,30
rGed-D,4229,274,1749,202,1856,61
rGed-D,4233,272,1759,199,1859,59
rGed-D,4233,222,4886,34,2458,43
rGed-D,4223,270,1756,194,1854,50
rGed-D,4214,266,1760,185,1850,38
rGed-D,4016,284,2923,103,2292,33
rGed-D,4000,283,2917,101,2289,25
rGed-D,3987,281,2913,98,2287,17
rGed-D,3986,279,2923,96,2292,15
rGed-D,3973,278,2919,94,2289,7
rGed-D,4016,284,2923,103,2292,33
rGed-D,4000,283,2917,101,2289,25
rGed-D,4225,268,1765,190,1856,47
rGed-D,3987,281,2913,98,2287,17
rGed-D,4260,223,4904,35,2466,46
rGed-D,4313,226,4935,39,2480,52
rGed-D,3936,158,4632,114,2452,217
rGed-D,3913,157,4617,113,2449,216
rGed-D,3890,157,4603,111,2446,215
rGed-D,5069,285,6204,79,3139,132
rGed-D,5053,284,6205,78,3139,133
rGed-D,5026,283,6190,76,3133,130
rGed-D,4997,282,6174,75,3125,127
rGed-D,4969,281,6159,73,3119,125
rGed-D,4285,224,4918,37,2473,49
rGed-D,4733,267,5456,65,2812,98
rGed-D,4676,264,5424,61,2796,92
rGed-D,4647,262,5407,60,2786,89
rGed-D,4620,261,5391,58,2778,86
rGed-D,4522,246,5167,55,2642,87
rGed-D,4494,245,5149,54,2634,84
rGed-D,4467,244,5134,51,2627,81
rGed-D,4440,242,5117,50,2618,78
rGed-D,4414,241,5101,48,2609,76
rGed-D,4704,266,5439,63,2804,95
rGed-D,3969,159,4644,115,2449,215
rGed-D,3986,279,2923,96,2292,15
rGed-D,3894,249,2965,82,2228,31
rGed-D,4743,259,3959,74,2908,91
rGed-D,4475,248,3580,67,2654,82
rGed-D,4457,246,3572,65,2651,77
rGed-D,4442,245,3568,63,2650,73
rGed-D,4438,244,3576,62,2653,72
rGed-D,4422,242,3570,59,2652,67
rGed-D,4228,226,3390,41,2463,47
rGed-D,4210,225,3382,39,2460,42
rGed-D,4758,260,3963,76,2909,95
rGed-D,4195,223,3377,36,2458,38
rGed-D,4162,220,3364,32,2453,28
rGed-D,4130,212,3307,31,2379,25
rGed-D,4114,210,3300,29,2377,20
rGed-D,4099,209,3296,26,2375,15
rGed-D,4082,208,3288,24,2372,11
rGed-D,4066,206,3282,21,2369,6
rGed-D,4055,200,3273,29,2320,21
rGed-D,4053,199,3283,28,2325,20
rGed-D,4178,222,3369,34,2455,33
rGed-D,3909,251,2971,84,2231,38
rGed-D,4776,262,3970,78,2911,100
rGed-D,4808,265,3981,82,2913,109
rGed-D,3881,248,2960,79,2226,24
rGed-D,3863,246,2951,77,2222,16
rGed-D,3851,244,2949,75,2221,10
rGed-D,3893,229,3026,73,2221,46
rGed-D,3877,227,3020,71,2219,40
rGed-D,3864,226,3016,69,2218,34
rGed-D,3847,224,3009,66,2214,27
rGed-D,3833,223,3004,64,2212,21
rGed-D,4791,263,3974,81,2911,104
rGed-D,3784,194,3063,54,2143,34
rGed-D,3757,192,3053,49,2142,24
rGed-D,3740,190,3045,47,2139,18
rGed-D,3726,189,3041,44,2137,13
rGed-D,5759,262,4875,85,3448,139
rGed-D,5747,260,4870,83,3453,135
rGed-D,5736,259,4869,81,3460,130
rGed-D,5737,259,4879,80,3471,130
rGed-D,5725,257,4876,78,3476,126
rGed-D,3770,193,3058,52,2142,28
rGed-D,3973,278,2919,94,2289,7
rGed-D,4006,195,3264,20,2320,6
rGed-D,4022,197,3271,23,2322,11
rGed-L,1856,78,4832,63,1049,133
rGed-L,1864,69,3615,166,854,237
rGed-L,1879,70,3633,167,862,243
rGed-L,1886,71,3641,168,865,243
rGed-L,1901,71,3658,170,873,249
rGed-L,1907,71,3663,171,876,249
rGed-L,1350,42,4537,7,652,17
rGed-L,1369,43,4561,10,660,21
rGed-L,1390,44,4585,11,669,26
rGed-L,1769,62,5214,30,913,74
rGed-L,1431,45,4633,15,685,35
rGed-L,1494,48,4761,16,736,36
rGed-L,1514,49,4785,19,744,40
rGed-L,1535,50,4811,20,753,45
rGed-L,1555,50,4836,23,761,50
rGed-L,1577,51,4861,24,770,54
rGed-L,1643,55,4981,25,827,56
rGed-L,1663,56,5007,27,835,60
rGed-L,1685,56,5033,29,844,65
